,Attrition,EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,county_name,state,cty,household_income_at_35,high-school_graduation_rate,percentage_married_by_35,incarceration_rate,women_teenage_birthrate,poverty_rate,employment_rates_at_35,single_parent_frac
207,No,286,36,Travel_Frequently,635,Research & Development,18,1,Medical,1,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,Y,No,13,3,1,80,0,8,2,3,8,1,1,7,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
208,No,287,40,Non-Travel,1151,Research & Development,9,5,Life Sciences,1,4,Male,63,2,2,Healthcare Representative,4,Married,4876,14242,9,Y,No,14,3,4,80,1,5,5,1,3,2,0,2,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
209,No,288,46,Travel_Rarely,644,Research & Development,1,4,Medical,1,4,Male,97,3,3,Healthcare Representative,1,Divorced,9396,12368,7,Y,No,16,3,3,80,1,17,3,3,4,2,0,3,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
210,Yes,291,32,Travel_Rarely,1045,Sales,4,4,Medical,1,4,Male,32,1,3,Sales Executive,4,Married,10400,25812,1,Y,No,11,3,3,80,0,14,2,2,14,8,9,8,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
211,No,292,30,Non-Travel,829,Research & Development,1,1,Life Sciences,1,3,Male,88,2,3,Manufacturing Director,3,Single,8474,20925,1,Y,No,22,4,3,80,0,12,2,3,11,8,5,8,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
212,No,293,27,Travel_Frequently,1242,Sales,20,3,Life Sciences,1,4,Female,90,3,2,Sales Executive,3,Single,9981,12916,1,Y,No,14,3,4,80,0,7,2,3,7,7,0,7,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
213,No,296,51,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,1,2,Male,81,2,3,Research Director,2,Married,12490,15736,5,Y,No,16,3,4,80,2,16,5,1,10,9,4,7,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
214,Yes,297,30,Travel_Rarely,1005,Research & Development,3,3,Technical Degree,1,4,Female,88,3,1,Research Scientist,1,Single,2657,8556,5,Y,Yes,11,3,3,80,0,8,5,3,5,2,0,4,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
215,No,298,41,Travel_Rarely,896,Sales,6,3,Life Sciences,1,4,Female,75,3,3,Manager,4,Single,13591,14674,3,Y,Yes,18,3,3,80,0,16,3,3,1,0,0,0,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
216,Yes,299,30,Travel_Frequently,334,Sales,26,4,Marketing,1,3,Female,52,2,2,Sales Executive,1,Single,6696,22967,5,Y,No,15,3,3,80,0,9,5,2,6,3,0,1,Union County, NJ,cty34039,51773,0.914,0.4232,0.0108,0.127,0.1085,0.8047,0.3264
217,Yes,300,29,Travel_Rarely,992,Research & Development,1,3,Technical Degree,1,3,Male,85,3,1,Research Scientist,3,Single,2058,19757,0,Y,No,14,3,4,80,0,7,1,2,6,2,1,5,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
218,No,302,45,Non-Travel,1052,Sales,6,3,Medical,1,4,Female,57,2,3,Sales Executive,4,Single,8865,16840,6,Y,No,12,3,4,80,0,23,2,3,19,7,12,8,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
219,No,303,54,Travel_Rarely,1147,Sales,3,3,Marketing,1,4,Female,52,3,2,Sales Executive,1,Married,5940,17011,2,Y,No,14,3,4,80,1,16,4,3,6,2,0,5,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
220,No,304,36,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,1,4,Male,62,3,2,Laboratory Technician,2,Single,5914,9945,8,Y,No,16,3,4,80,0,16,3,4,13,11,3,7,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
221,No,305,33,Travel_Rarely,147,Research & Development,4,4,Medical,1,3,Female,47,2,1,Research Scientist,2,Married,2622,13248,6,Y,No,21,4,4,80,0,7,3,3,3,2,1,1,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
222,No,306,37,Travel_Frequently,663,Research & Development,11,3,Other,1,2,Male,47,3,3,Research Director,4,Divorced,12185,10056,1,Y,Yes,14,3,3,80,3,10,1,3,10,8,0,7,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
223,No,307,38,Travel_Rarely,119,Sales,3,3,Life Sciences,1,1,Male,76,3,3,Sales Executive,3,Divorced,10609,9647,0,Y,No,12,3,3,80,2,17,6,2,16,10,5,13,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
224,No,308,31,Non-Travel,979,Research & Development,1,4,Medical,1,3,Male,90,1,2,Manufacturing Director,3,Married,4345,4381,0,Y,No,12,3,4,80,1,6,2,3,5,4,1,4,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
225,No,309,59,Travel_Rarely,142,Research & Development,3,3,Life Sciences,1,3,Male,70,2,1,Research Scientist,4,Married,2177,8456,3,Y,No,17,3,1,80,1,7,6,3,1,0,0,0,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
226,No,311,37,Travel_Frequently,319,Sales,4,4,Marketing,1,1,Male,41,3,1,Sales Representative,4,Divorced,2793,2539,4,Y,No,17,3,3,80,1,13,2,3,9,8,5,8,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
227,No,312,29,Travel_Frequently,1413,Sales,1,1,Medical,1,2,Female,42,3,3,Sales Executive,4,Married,7918,6599,1,Y,No,14,3,4,80,1,11,5,3,11,10,4,1,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
228,No,314,35,Travel_Frequently,944,Sales,1,3,Marketing,1,3,Female,92,3,3,Sales Executive,3,Single,8789,9096,1,Y,No,14,3,1,80,0,10,3,4,10,7,0,8,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
229,Yes,315,29,Travel_Rarely,896,Research & Development,18,1,Medical,1,3,Male,86,2,1,Research Scientist,4,Single,2389,14961,1,Y,Yes,13,3,3,80,0,4,3,2,4,3,0,1,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
230,No,316,52,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,1,3,Female,89,2,1,Laboratory Technician,4,Single,3212,3300,7,Y,No,15,3,2,80,0,6,3,2,2,2,2,2,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
231,No,319,42,Travel_Rarely,532,Research & Development,4,2,Technical Degree,1,3,Male,58,3,5,Manager,4,Married,19232,4933,1,Y,No,11,3,4,80,0,22,3,3,22,17,11,15,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
232,No,321,59,Travel_Rarely,818,Human Resources,6,2,Medical,1,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,Y,No,17,3,4,80,0,7,2,2,2,2,2,2,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
233,No,323,50,Travel_Rarely,854,Sales,1,4,Medical,1,4,Female,68,3,5,Manager,4,Divorced,19517,24118,3,Y,No,11,3,3,80,1,32,3,2,7,0,0,6,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
234,Yes,325,33,Travel_Rarely,813,Research & Development,14,3,Medical,1,3,Male,58,3,1,Laboratory Technician,4,Married,2436,22149,5,Y,Yes,13,3,3,80,1,8,2,1,5,4,0,4,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
235,No,327,43,Travel_Rarely,1034,Sales,16,3,Marketing,1,4,Female,80,3,4,Manager,4,Married,16064,7744,5,Y,Yes,22,4,3,80,1,22,3,3,17,13,1,9,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
236,Yes,328,33,Travel_Rarely,465,Research & Development,2,2,Life Sciences,1,1,Female,39,3,1,Laboratory Technician,1,Married,2707,21509,7,Y,No,20,4,1,80,0,13,3,4,9,7,1,7,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
237,No,329,52,Non-Travel,771,Sales,2,4,Life Sciences,1,1,Male,79,2,5,Manager,3,Single,19068,21030,1,Y,Yes,18,3,4,80,0,33,2,4,33,7,15,12,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
238,No,330,32,Travel_Rarely,1401,Sales,4,2,Life Sciences,1,3,Female,56,3,1,Sales Representative,2,Married,3931,20990,2,Y,No,11,3,1,80,1,6,5,3,4,3,1,2,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
239,Yes,331,32,Travel_Rarely,515,Research & Development,1,3,Life Sciences,1,4,Male,62,2,1,Laboratory Technician,3,Single,3730,9571,0,Y,Yes,14,3,4,80,0,4,2,1,3,2,1,2,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
240,No,332,39,Travel_Rarely,1431,Research & Development,1,4,Medical,1,3,Female,96,3,1,Laboratory Technician,3,Divorced,2232,15417,7,Y,No,14,3,3,80,3,7,1,3,3,2,1,2,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
241,No,333,32,Non-Travel,976,Sales,26,4,Marketing,1,3,Male,100,3,2,Sales Executive,4,Married,4465,12069,0,Y,No,18,3,1,80,0,4,2,3,3,2,2,2,Union County, NJ,cty34039,51773,0.914,0.4232,0.0108,0.127,0.1085,0.8047,0.3264
242,No,334,41,Travel_Rarely,1411,Research & Development,19,2,Life Sciences,1,3,Male,36,3,2,Research Scientist,1,Divorced,3072,19877,2,Y,No,16,3,1,80,2,17,2,2,1,0,0,0,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
243,No,335,40,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,1,1,Male,62,3,2,Research Scientist,4,Divorced,3319,24447,1,Y,No,17,3,1,80,2,9,3,3,9,8,4,7,Union County, NJ,cty34039,51773,0.914,0.4232,0.0108,0.127,0.1085,0.8047,0.3264
244,No,336,45,Travel_Rarely,252,Research & Development,1,3,Other,1,3,Male,70,4,5,Manager,4,Married,19202,15970,0,Y,No,11,3,3,80,1,25,2,3,24,0,1,7,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
245,No,337,31,Travel_Frequently,1327,Research & Development,3,4,Medical,1,2,Male,73,3,3,Research Director,3,Divorced,13675,13523,9,Y,No,12,3,1,80,1,9,3,3,2,2,2,2,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
246,No,338,33,Travel_Rarely,832,Research & Development,5,4,Life Sciences,1,3,Female,63,2,1,Research Scientist,4,Married,2911,14776,1,Y,No,13,3,3,80,1,2,2,2,2,2,0,2,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
247,No,339,34,Travel_Rarely,470,Research & Development,2,4,Life Sciences,1,4,Male,84,2,2,Manufacturing Director,1,Married,5957,23687,6,Y,No,13,3,2,80,1,13,3,3,11,9,5,9,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
248,No,340,37,Travel_Rarely,1017,Research & Development,1,2,Medical,1,3,Female,83,2,1,Research Scientist,1,Married,3920,18697,2,Y,No,14,3,1,80,1,17,2,2,3,1,0,2,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
249,No,341,45,Travel_Frequently,1199,Research & Development,7,4,Life Sciences,1,1,Male,77,4,2,Manufacturing Director,3,Married,6434,5118,4,Y,No,17,3,4,80,1,9,1,3,3,2,0,2,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
250,Yes,342,37,Travel_Frequently,504,Research & Development,10,3,Medical,1,1,Male,61,3,3,Manufacturing Director,3,Divorced,10048,22573,6,Y,No,11,3,2,80,2,17,5,3,1,0,0,0,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
251,No,343,39,Travel_Frequently,505,Research & Development,2,4,Technical Degree,1,3,Female,64,3,3,Healthcare Representative,3,Single,10938,6420,0,Y,No,25,4,4,80,0,20,1,3,19,6,11,8,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
252,No,346,29,Travel_Rarely,665,Research & Development,15,3,Life Sciences,1,3,Male,60,3,1,Research Scientist,4,Single,2340,22673,1,Y,No,19,3,1,80,0,6,1,3,6,5,1,5,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
253,No,347,42,Travel_Rarely,916,Research & Development,17,2,Life Sciences,1,4,Female,82,4,2,Research Scientist,1,Single,6545,23016,3,Y,Yes,13,3,3,80,0,10,1,3,3,2,0,2,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
254,No,349,29,Travel_Rarely,1247,Sales,20,2,Marketing,1,4,Male,45,3,2,Sales Executive,4,Divorced,6931,10732,2,Y,No,14,3,4,80,1,10,2,3,3,2,0,2,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
255,No,350,25,Travel_Rarely,685,Research & Development,1,3,Life Sciences,1,1,Female,62,3,2,Manufacturing Director,3,Married,4898,7505,0,Y,No,12,3,4,80,2,5,3,3,4,2,1,2,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
256,No,351,42,Travel_Rarely,269,Research & Development,2,3,Medical,1,4,Female,56,2,1,Laboratory Technician,1,Divorced,2593,8007,0,Y,Yes,11,3,3,80,1,10,4,3,9,6,7,8,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
257,No,352,40,Travel_Rarely,1416,Research & Development,2,2,Medical,1,1,Male,49,3,5,Research Director,3,Divorced,19436,5949,0,Y,No,19,3,4,80,1,22,5,3,21,7,3,9,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
258,No,353,51,Travel_Rarely,833,Research & Development,1,3,Life Sciences,1,3,Male,96,3,1,Research Scientist,4,Married,2723,23231,1,Y,No,11,3,2,80,0,1,0,2,1,0,0,0,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
259,Yes,355,31,Travel_Frequently,307,Research & Development,29,2,Medical,1,3,Male,71,2,1,Laboratory Technician,2,Single,3479,11652,0,Y,No,11,3,2,80,0,6,2,4,5,4,1,4,Fairfield County, CT,cty09001,55614,0.922,0.4623,0.0101,0.0944,0.0886,0.7927,0.263
260,No,359,32,Travel_Frequently,1311,Research & Development,7,3,Life Sciences,1,2,Male,100,4,1,Laboratory Technician,2,Married,2794,26062,1,Y,No,20,4,3,80,0,5,3,1,5,1,0,3,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
261,No,361,38,Non-Travel,1327,Sales,2,2,Life Sciences,1,4,Male,39,2,2,Sales Executive,4,Married,5249,19682,3,Y,No,18,3,4,80,1,13,0,3,8,7,7,5,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
262,No,362,32,Travel_Rarely,128,Research & Development,2,1,Technical Degree,1,4,Male,84,2,2,Laboratory Technician,1,Single,2176,19737,4,Y,No,13,3,4,80,0,9,5,3,6,2,0,4,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
263,No,363,46,Travel_Rarely,488,Sales,2,3,Technical Degree,1,3,Female,75,1,4,Manager,2,Married,16872,14977,3,Y,Yes,12,3,2,80,1,28,2,2,7,7,7,7,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
264,Yes,364,28,Travel_Rarely,529,Research & Development,2,4,Life Sciences,1,1,Male,79,3,1,Laboratory Technician,3,Single,3485,14935,2,Y,No,11,3,3,80,0,5,5,1,0,0,0,0,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
265,No,366,29,Travel_Rarely,1210,Sales,2,3,Medical,1,1,Male,78,2,2,Sales Executive,2,Married,6644,3687,2,Y,No,19,3,2,80,2,10,2,3,0,0,0,0,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
266,No,367,31,Travel_Rarely,1463,Research & Development,23,3,Medical,1,2,Male,64,2,2,Healthcare Representative,4,Married,5582,14408,0,Y,No,21,4,2,80,1,10,2,3,9,0,7,8,Union County, NJ,cty34039,51773,0.914,0.4232,0.0108,0.127,0.1085,0.8047,0.3264
267,No,369,25,Non-Travel,675,Research & Development,5,2,Life Sciences,1,2,Male,85,4,2,Healthcare Representative,1,Divorced,4000,18384,1,Y,No,12,3,4,80,2,6,2,3,6,3,1,5,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
268,No,372,45,Travel_Rarely,1385,Research & Development,20,2,Medical,1,3,Male,79,3,4,Healthcare Representative,4,Married,13496,7501,0,Y,Yes,14,3,2,80,0,21,2,3,20,7,4,10,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
269,No,373,36,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,1,4,Male,47,3,1,Laboratory Technician,4,Married,3210,20251,0,Y,No,11,3,3,80,1,16,4,3,15,13,10,11,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
270,No,374,55,Travel_Rarely,452,Research & Development,1,3,Medical,1,4,Male,81,3,5,Manager,1,Single,19045,18938,0,Y,Yes,14,3,3,80,0,37,2,3,36,10,4,13,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
271,Yes,376,47,Non-Travel,666,Research & Development,29,4,Life Sciences,1,1,Male,88,3,3,Manager,2,Married,11849,10268,1,Y,Yes,12,3,4,80,1,10,2,2,10,7,9,9,Fairfield County, CT,cty09001,55614,0.922,0.4623,0.0101,0.0944,0.0886,0.7927,0.263
272,No,377,28,Travel_Rarely,1158,Research & Development,9,3,Medical,1,4,Male,94,3,1,Research Scientist,4,Married,2070,2613,1,Y,No,23,4,4,80,1,5,3,2,5,2,0,4,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
273,No,378,37,Travel_Rarely,228,Sales,6,4,Medical,1,3,Male,98,3,2,Sales Executive,4,Married,6502,22825,4,Y,No,14,3,2,80,1,7,5,4,5,4,0,1,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
274,No,379,21,Travel_Rarely,996,Research & Development,3,2,Medical,1,4,Male,100,2,1,Research Scientist,3,Single,3230,10531,1,Y,No,17,3,1,80,0,3,4,4,3,2,1,0,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
275,No,380,37,Non-Travel,728,Research & Development,1,4,Medical,1,1,Female,80,3,3,Research Director,4,Divorced,13603,11677,2,Y,Yes,18,3,1,80,2,15,2,3,5,2,0,2,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
276,No,381,35,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,1,2,Female,71,4,3,Manager,2,Divorced,11996,19100,7,Y,No,18,3,2,80,1,10,6,2,7,7,6,2,Union County, NJ,cty34039,51773,0.914,0.4232,0.0108,0.127,0.1085,0.8047,0.3264
277,No,382,38,Travel_Rarely,322,Sales,7,2,Medical,1,1,Female,44,4,2,Sales Executive,1,Divorced,5605,19191,1,Y,Yes,24,4,3,80,1,8,3,3,8,0,7,7,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
278,No,384,26,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,Y,No,20,4,1,80,1,6,6,1,6,5,1,4,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
279,No,385,50,Travel_Rarely,797,Research & Development,4,1,Life Sciences,1,1,Male,96,3,5,Research Director,2,Divorced,19144,15815,3,Y,No,14,3,1,80,2,28,4,2,10,4,1,6,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
280,No,386,53,Travel_Rarely,1070,Research & Development,3,4,Medical,1,3,Male,45,3,4,Research Director,3,Married,17584,21016,3,Y,Yes,16,3,4,80,3,21,5,2,5,3,1,3,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
281,No,387,42,Travel_Rarely,635,Sales,1,1,Life Sciences,1,2,Male,99,3,2,Sales Executive,3,Married,4907,24532,1,Y,No,25,4,3,80,0,20,3,3,20,16,11,6,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
282,No,388,29,Travel_Frequently,442,Sales,2,2,Life Sciences,1,2,Male,44,3,2,Sales Executive,4,Single,4554,20260,1,Y,No,18,3,1,80,0,10,3,2,10,7,0,9,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
283,No,389,55,Travel_Rarely,147,Research & Development,20,2,Technical Degree,1,2,Male,37,3,2,Laboratory Technician,4,Married,5415,15972,3,Y,Yes,19,3,4,80,1,12,4,3,10,7,0,8,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
284,No,390,26,Travel_Frequently,496,Research & Development,11,2,Medical,1,1,Male,60,3,2,Healthcare Representative,1,Married,4741,22722,1,Y,Yes,13,3,3,80,1,5,3,3,5,3,3,3,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
285,No,391,37,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,1,4,Female,42,3,1,Research Scientist,4,Single,2115,15881,1,Y,No,12,3,2,80,0,17,3,3,17,12,5,7,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
286,Yes,392,44,Travel_Frequently,920,Research & Development,24,3,Life Sciences,1,4,Male,43,3,1,Laboratory Technician,3,Divorced,3161,19920,3,Y,Yes,22,4,4,80,1,19,0,1,1,0,0,0,Union County, NJ,cty34039,51773,0.914,0.4232,0.0108,0.127,0.1085,0.8047,0.3264
287,No,393,38,Travel_Rarely,688,Research & Development,23,4,Life Sciences,1,4,Male,82,3,2,Healthcare Representative,4,Divorced,5745,18899,9,Y,No,14,3,2,80,1,10,2,3,2,2,1,2,Union County, NJ,cty34039,51773,0.914,0.4232,0.0108,0.127,0.1085,0.8047,0.3264
288,Yes,394,26,Travel_Rarely,1449,Research & Development,16,4,Medical,1,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373,14180,2,Y,Yes,13,3,4,80,1,5,2,3,3,2,0,2,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
289,No,395,28,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,1,4,Female,66,3,1,Research Scientist,4,Single,3310,4488,1,Y,No,21,4,4,80,0,5,3,3,5,3,0,2,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
290,No,396,49,Travel_Frequently,636,Research & Development,10,4,Life Sciences,1,3,Female,35,3,5,Research Director,1,Single,18665,25594,9,Y,Yes,11,3,4,80,0,22,4,3,3,2,1,2,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
291,No,397,36,Travel_Rarely,506,Research & Development,3,3,Technical Degree,1,3,Male,30,3,2,Research Scientist,2,Single,4485,26285,4,Y,No,12,3,4,80,0,10,2,3,8,0,7,7,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
292,No,399,31,Travel_Frequently,444,Sales,5,3,Marketing,1,4,Female,84,3,1,Sales Representative,2,Divorced,2789,3909,1,Y,No,11,3,3,80,1,2,5,2,2,2,2,2,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
293,Yes,401,26,Travel_Rarely,950,Sales,4,4,Marketing,1,4,Male,48,2,2,Sales Executive,4,Single,5828,8450,1,Y,Yes,12,3,2,80,0,8,0,3,8,7,7,4,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
294,No,403,37,Travel_Frequently,889,Research & Development,9,3,Medical,1,2,Male,53,3,1,Research Scientist,4,Married,2326,11411,1,Y,Yes,12,3,3,80,3,4,3,2,4,2,1,2,Bronx County, NY,cty36005,32542,0.7783,0.2223,0.0163,0.2765,0.3055,0.7417,0.5914
295,No,404,42,Travel_Frequently,555,Sales,26,3,Marketing,1,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,Y,No,14,3,4,80,1,23,2,4,20,4,4,8,Union County, NJ,cty34039,51773,0.914,0.4232,0.0108,0.127,0.1085,0.8047,0.3264
296,Yes,405,18,Travel_Rarely,230,Research & Development,3,3,Life Sciences,1,3,Male,54,3,1,Laboratory Technician,3,Single,1420,25233,1,Y,No,13,3,3,80,0,0,2,3,0,0,0,0,Kings County, NY,cty36047,37229,0.8375,0.3201,0.0138,0.1956,0.2291,0.7317,0.3806
297,No,406,35,Travel_Rarely,1232,Sales,16,3,Marketing,1,3,Male,96,3,3,Sales Executive,2,Married,8020,5100,0,Y,No,15,3,3,80,2,12,3,2,11,9,6,9,Bergen County, NJ,cty34003,63424,0.9408,0.5089,0.0029,0.041,0.0748,0.8025,0.2005
